refdes,pin,function,net,connects_to
U1,PB15,SDMMC2_D1,SD_D1,J4 microSD DAT1
U1,PC0,GPIO in (EXTI),NFC_GPIO,X2-48
U1,PC1,ETH_MDC,ETH_MDC,X2-4
U1,PC2,ADC3_INP12 (PC2_C),ADC1_6V6,X1-90
U1,PC3,ADC3_INP13 (PC3_C),ADC1_3V3,X1-92
U1,PC4,ETH_RXD0,ETH_RXD0,X2-11
U1,PC5,ETH_RXD1,ETH_RXD1,X2-15
U1,PC6,USART6_TX,USART6_TX_TO_IO,X1-72
U1,PC7,USART6_RX,USART6_RX_FROM_IO_RC,X1-70
U1,PC8,UART5_RTS,UART5_RTS_TELEM2,X1-58
U1,PC9,UART5_CTS,UART5_CTS_TELEM2,X1-60
U1,PC10,SPI3_SCK,SPI3_SCK_SENSOR3,J3-10
U1,PC11,SPI3_MISO,SPI3_MISO_SENSOR3,J3-12
U1,PC12,UART5_TX,UART5_TX_TELEM2,X1-52
U1,PC13,GPIO out,VDD_3V3_SD_CARD_EN,Q_SD load switch EN
U1,PC14,OSC32_IN,32KHZ_IN,Y2 32.768 kHz
U1,PC15,OSC32_OUT,32KHZ_OUT,Y2 32.768 kHz
U1,PD0,FDCAN1_RX,CAN1_RX,X1-65
U1,PD1,FDCAN1_TX,CAN1_TX,X1-63
U1,PD2,UART5_RX,UART5_RX_TELEM2,X1-54
U1,PD3,USART2_CTS,USART2_CTS_TELEM3,X1-48
U1,PD4,USART2_RTS,USART2_RTS_TELEM3,X1-46
U1,PD5,USART2_TX,USART2_TX_TELEM3,X1-40
U1,PD6,SDMMC2_CK,SD_CLK,J4 microSD CLK
U1,PD7,SDMMC2_CMD,SD_CMD,J4 microSD CMD
U1,PD8,USART3_TX,USART3_TX_DEBUG,X1-69
U1,PD9,USART3_RX,USART3_RX_DEBUG,X1-71
U1,PD10,GPIO out,FMU_nSAFETY_SWITCH_LED_OUT,X1-23
U1,PD11,GPIO in,SPI6_DRDY1_EXTERNAL1,X2-47
U1,PD12,GPIO in,SPI6_DRDY2_EXTERNAL1,X2-45
U1,PD13,TIM4_CH2,FMU_CH5,X1-7
U1,PD14,TIM4_CH3,FMU_CH6,X1-5
U1,PD15,GPIO in (spare),PD15_SPARE,NC
U1,PE0,UART8_RX,UART8_RX_GPS2,X1-30
U1,PE1,UART8_TX,UART8_TX_GPS2,X1-28
U1,PE2,TRACECLK,TRACECLK,J1 TRACE-1
U1,PE3,GPIO od (TRACED0),nLED_RED,D1 red LED cathode (+ J1 TRACE-3)
U1,PE4,GPIO od (TRACED1),nLED_GREEN,D2 green LED cathode (+ J1 TRACE-5)
U1,PE5,GPIO od (TRACED2),nLED_BLUE,D3 blue LED cathode (+ J1 TRACE-7)
U1,PE6,GPIO (TRACED3),nARMED,X1-85 (+ J1 TRACE-8)
U1,PE7,GPIO out,VDD_3V3_SENSORS3_EN,U_LDO3 EN
U1,PE8,UART7_TX,UART7_TX_TELEM1,X1-64
U1,PE9,GPIO out,SPIX_SYNC,X2-49
U1,PE10,UART7_CTS,UART7_CTS_TELEM1,X1-24
U1,PE11,TIM1_CH2 (capture),FMU_CAP1,X1-97
U1,PE15,GPIO in,VDD_5V_PERIPH_nOC,X1-37
U1,PF0,I2C2_SDA,I2C2_SDA_BASE,X1-12 (+ U_BARO2 ICP-20100 SDA)
U1,PF1,I2C2_SCL,I2C2_SCL_BASE,X1-14 (+ U_BARO2 ICP-20100 SCL)
U1,PF2,GPIO in (EXTI),SPI1_DRDY1_IMU3_INT1,U_IMU3 ICM-20649 INT1
U1,PF4,GPIO out,VDD_3V3_SENSORS2_EN,U_LDO2 EN
U1,PF5,GPIO in (pull-up),FMU_SAFETY_SWITCH_IN,X1-21
U1,PF6,UART7_RX,UART7_RX_TELEM1,X1-66
U1,PF7,SPI5_SCK,SPI5_SCK_FRAM,U_FRAM FM25V02A SCK
U1,PF8,UART7_RTS,UART7_RTS_TELEM1,X1-22
U1,PF9,TIM14_CH1,BUZZER_1,X1-4
U1,PF10,GPIO out,SPI6_nRESET_EXTERNAL1,X2-39
U1,PF11,SPI5_MOSI,SPI5_MOSI_FRAM,U_FRAM FM25V02A SI
U1,PF12,ADC1_INP6,SCALED_VDD_3V3_SENSORS4,R-divider on VDD_3V3_SENSORS4
U1,PF13,GPIO in,VDD_5V_HIPOWER_nOC,X1-83
U1,PF14,I2C4_SCL,I2C4_SCL_FMU,J3-7 (+ U_SE SE050 SCL)
U1,PF15,I2C4_SDA,I2C4_SDA_FMU,J3-5 (+ U_SE SE050 SDA)
U1,PG0,GPIO out,HW_VER_REV_DRIVE,X1-25 (+ top of FMUM ID ladder)
U1,PG1,GPIO in (pull-up),nPOWER_IN_A,X1-89
U1,PG2,GPIO in (pull-up),nPOWER_IN_B,X1-91
U1,PG3,GPIO in (pull-up),nPOWER_IN_C,X1-93
U1,PG4,GPIO out,VDD_5V_PERIPH_nEN,X1-35
U1,PG5,GPIO in (EXTI),I2C2_DRDY1_BARO2,U_BARO2 ICP-20100 INT (optional)
U1,PG6,GPIO in (pull-up),PG6,X2-44
U1,PG7,GPIO out,SPI5_nCS1_FRAM,U_FRAM FM25V02A nCS
U1,PG8,GPIO out,VDD_3V3_SENSORS4_EN,U_LDO4 EN
U1,PG9,SPI1_MISO,SPI1_MISO_SENSOR1,U_IMU3 ICM-20649 SDO
U1,PG10,GPIO out,VDD_5V_HIPOWER_nEN,X1-81
U1,PG11,SDMMC2_D2,SD_D2,J4 microSD DAT2
U1,PG12,ETH_TXD1,ETH_TXD1,X2-23
U1,PG13,ETH_TXD0,ETH_TXD0,X2-19
U1,PG14,SPI6_MOSI,SPI6_MOSI_EXTERNAL1,X2-33
U1,PG15,GPIO out,ETH_POWER_EN,X2-6
U1,PH0,OSC_IN,16MHZ_IN,Y1 16 MHz
U1,PH1,OSC_OUT,16MHZ_OUT,Y1 16 MHz
U1,PH2,GPIO out,VDD_3V3_SPEKTRUM_POWER_EN,X1-33
U1,PH3,ADC3_INP14,HW_VER_SENSE,X1-27 (base-board ID ladder)
U1,PH4,ADC3_INP15,HW_REV_SENSE,FMUM ID ladder (R_up 24.9k / R_dn 442k = ID 1)
U1,PH5,GPIO out,SPI2_nCS1_IMU2,J3-33
U1,PH6,TIM12_CH1,FMU_CH7,X1-3
U1,PH7,SPI5_MISO,SPI5_MISO_FRAM,U_FRAM FM25V02A SO
U1,PH8,I2C3_SDA,I2C3_SDA_BASE,X1-8
U1,PH9,TIM12_CH2,FMU_CH8,X1-1
U1,PH10,TIM5_CH1,FMU_CH4,X1-11
U1,PH11,TIM5_CH2,FMU_CH3,X1-13 (+ X2-50 'PH11')
U1,PH12,TIM5_CH3,FMU_CH2,X1-15
U1,PH13,UART4_TX,UART4_TX,X1-98
U1,PH14,UART4_RX,UART4_RX,X1-96
U1,PI0,TIM5_CH4,FMU_CH1,X1-17
U1,PI1,SPI2_SCK,SPI2_SCK_SENSOR2,J3-20
U1,PI2,SPI2_MISO,SPI2_MISO_SENSOR2,J3-22
U1,PI3,SPI2_MOSI,SPI2_MOSI_SENSOR2,J3-24
U1,PI4,GPIO out,SPI3_nCS1_BMI088_ACCEL,J3-2
U1,PI5,TIM8_CH1 (capture),FMU_PPM_INPUT,X1-39
U1,PI6,GPIO in,SPI3_DRDY1_BMI088_INT1,NC (not wired on flex for sensor set 1)
U1,PI7,GPIO in (EXTI),SPI3_DRDY2_BMI088_INT3_GYRO,J3-3
U1,PI8,GPIO out,SPI3_nCS2_BMI088_GYRO,J3-4
U1,PI9,GPIO out,SPI1_nCS1_IMU3,U_IMU3 ICM-20649 nCS
U1,PI10,GPIO out,SPI6_nCS1_EXTERNAL1,X2-41
U1,PI11,GPIO out,VDD_3V3_SENSORS1_EN,U_LDO1 EN
U1,NRST,reset,FMU_nRST,X1-87 (+ 100 nF to GND)
U1,BOOT0,boot select,BOOT0,"test pad 'BT0', 10k pull-down"
U1,VBAT,backup supply,V_RTC_BAT,B1 backup cell + X1-29
U1,PDR_ON,power-down reset,FMU_VDD_3V3,tie to VDD
U1,VDD/VDDA/VDDUSB/VDDLDO,supply,FMU_VDD_3V3,100 nF per pin + 4.7 uF bulk
U1,VCAP1/VCAP2,core LDO caps,VCAP,2.2 uF each to GND
U1,VREF+,ADC reference,FMU_VDD_3V3,via ferrite/1 uF
X1,1,PAB 100-pin,FMU_CH8,PH9
X1,2,PAB 100-pin,GND,rail
X1,3,PAB 100-pin,FMU_CH7,PH6
X1,4,PAB 100-pin,BUZZER_1,PF9
X1,5,PAB 100-pin,FMU_CH6,PD14
X1,6,PAB 100-pin,GND,rail
X1,7,PAB 100-pin,FMU_CH5,PD13
X1,8,PAB 100-pin,I2C3_SDA_BASE,PH8
X1,9,PAB 100-pin,GND,rail
X1,10,PAB 100-pin,I2C3_SCL_BASE,PA8
X1,11,PAB 100-pin,FMU_CH4,PH10
X1,12,PAB 100-pin,I2C2_SDA_BASE,PF0
X1,13,PAB 100-pin,FMU_CH3,PH11
X1,14,PAB 100-pin,I2C2_SCL_BASE,PF1
X1,15,PAB 100-pin,FMU_CH2,PH12
X1,16,PAB 100-pin,I2C1_SDA_BASE,PB9
X1,17,PAB 100-pin,FMU_CH1,PI0
X1,18,PAB 100-pin,I2C1_SCL_BASE,PB8
X1,19,PAB 100-pin,GND,rail
X1,20,PAB 100-pin,GND,rail
X1,21,PAB 100-pin,FMU_SAFETY_SWITCH_IN,PF5
X1,22,PAB 100-pin,UART7_RTS_TELEM1,PF8
X1,23,PAB 100-pin,FMU_nSAFETY_SWITCH_LED_OUT,PD10
X1,24,PAB 100-pin,UART7_CTS_TELEM1,PE10
X1,25,PAB 100-pin,HW_VER_REV_DRIVE,PG0
X1,26,PAB 100-pin,GND,rail
X1,27,PAB 100-pin,HW_VER_SENSE,PH3
X1,28,PAB 100-pin,UART8_TX_GPS2,PE1
X1,29,PAB 100-pin,V_RTC_BAT,VBAT
X1,30,PAB 100-pin,UART8_RX_GPS2,PE0
X1,31,PAB 100-pin,GND,rail
X1,32,PAB 100-pin,GND,rail
X1,33,PAB 100-pin,VDD_3V3_SPEKTRUM_POWER_EN,PH2
X1,34,PAB 100-pin,USART1_RX_GPS1,PB7
X1,35,PAB 100-pin,VDD_5V_PERIPH_nEN,PG4
X1,36,PAB 100-pin,USART1_TX_GPS1,PB6
X1,37,PAB 100-pin,VDD_5V_PERIPH_nOC,PE15
X1,38,PAB 100-pin,GND,rail
X1,39,PAB 100-pin,FMU_PPM_INPUT,PI5
X1,40,PAB 100-pin,USART2_TX_TELEM3,PD5
X1,41,PAB 100-pin,GND,rail
X1,42,PAB 100-pin,USART2_RX_TELEM3,PA3
X1,43,PAB 100-pin,GND,rail
X1,44,PAB 100-pin,GND,rail
X1,45,PAB 100-pin,GND,rail
X1,46,PAB 100-pin,USART2_RTS_TELEM3,PD4
X1,47,PAB 100-pin,GND,rail
X1,48,PAB 100-pin,USART2_CTS_TELEM3,PD3
X1,49,PAB 100-pin,VDD_5V_IN,rail
X1,50,PAB 100-pin,GND,rail
X1,51,PAB 100-pin,VDD_5V_IN,rail
X1,52,PAB 100-pin,UART5_TX_TELEM2,PC12
X1,53,PAB 100-pin,VDD_5V_IN,rail
X1,54,PAB 100-pin,UART5_RX_TELEM2,PD2
X1,55,PAB 100-pin,VDD_5V_IN,rail
X1,56,PAB 100-pin,GND,rail
X1,57,PAB 100-pin,CAN2_TX,PB13
X1,58,PAB 100-pin,UART5_RTS_TELEM2,PC8
X1,59,PAB 100-pin,CAN2_RX,PB12
X1,60,PAB 100-pin,UART5_CTS_TELEM2,PC9
X1,61,PAB 100-pin,GND,rail
X1,62,PAB 100-pin,GND,rail
X1,63,PAB 100-pin,CAN1_TX,PD1
X1,64,PAB 100-pin,UART7_TX_TELEM1,PE8
X1,65,PAB 100-pin,CAN1_RX,PD0
X1,66,PAB 100-pin,UART7_RX_TELEM1,PF6
X1,67,PAB 100-pin,GND,rail
X1,68,PAB 100-pin,GND,rail
X1,69,PAB 100-pin,USART3_TX_DEBUG,PD8
X1,70,PAB 100-pin,USART6_RX_FROM_IO_RC,PC7
X1,71,PAB 100-pin,USART3_RX_DEBUG,PD9
X1,72,PAB 100-pin,USART6_TX_TO_IO,PC6
X1,73,PAB 100-pin,GND,rail
X1,74,PAB 100-pin,GND,rail
X1,75,PAB 100-pin,FMU_SWDIO,PA13
X1,76,PAB 100-pin,USB_D_P,PA12
X1,77,PAB 100-pin,FMU_SWCLK,PA14
X1,78,PAB 100-pin,USB_D_N,PA11
X1,79,PAB 100-pin,GND,rail
X1,80,PAB 100-pin,VBUS_SENSE,PA9
X1,81,PAB 100-pin,VDD_5V_HIPOWER_nEN,PG10
X1,82,PAB 100-pin,GND,rail
X1,83,PAB 100-pin,VDD_5V_HIPOWER_nOC,PF13
X1,84,PAB 100-pin,FMU_VDD_3V3,"PDR_ON, VDD/VDDA/VDDUSB/VDDLDO, VREF+"
X1,85,PAB 100-pin,nARMED,PE6
X1,86,PAB 100-pin,FMU_VDD_3V3,"PDR_ON, VDD/VDDA/VDDUSB/VDDLDO, VREF+"
X1,87,PAB 100-pin,FMU_nRST,NRST
X1,88,PAB 100-pin,GND,rail
X1,89,PAB 100-pin,nPOWER_IN_A,PG1
X1,90,PAB 100-pin,ADC1_6V6,PC2
X1,91,PAB 100-pin,nPOWER_IN_B,PG2
X1,92,PAB 100-pin,ADC1_3V3,PC3
X1,93,PAB 100-pin,nPOWER_IN_C,PG3
X1,94,PAB 100-pin,GND,rail
X1,95,PAB 100-pin,GND,rail
X1,96,PAB 100-pin,UART4_RX,PH14
X1,97,PAB 100-pin,FMU_CAP1,PE11
X1,98,PAB 100-pin,UART4_TX,PH13
X1,99,PAB 100-pin,GND,rail
X1,100,PAB 100-pin,GND,rail
X2,1,PAB 50-pin,GND,rail
X2,2,PAB 50-pin,ETH_MDIO,PA2
X2,3,PAB 50-pin,ETH_REF_CLK,PA1
X2,4,PAB 50-pin,ETH_MDC,PC1
X2,5,PAB 50-pin,GND,rail
X2,6,PAB 50-pin,ETH_POWER_EN,PG15
X2,7,PAB 50-pin,ETH_CRS_DV,PA7
X2,8,PAB 50-pin,GND,rail
X2,9,PAB 50-pin,GND,rail
X2,10,PAB 50-pin,ETH_RX_ER,n.c. on FMUv6X
X2,11,PAB 50-pin,ETH_RXD0,PC4
X2,12,PAB 50-pin,ETH_PHY_nINT,n.c. on FMUv6X
X2,13,PAB 50-pin,GND,rail
X2,14,PAB 50-pin,GND,rail
X2,15,PAB 50-pin,ETH_RXD1,PC5
X2,16,PAB 50-pin,FMU_CH9,n.c. on FMUv6X
X2,17,PAB 50-pin,GND,rail
X2,18,PAB 50-pin,FMU_CH10,n.c. on FMUv6X
X2,19,PAB 50-pin,ETH_TXD0,PG13
X2,20,PAB 50-pin,FMU_CH11,n.c. on FMUv6X
X2,21,PAB 50-pin,GND,rail
X2,22,PAB 50-pin,FMU_CH12,n.c. on FMUv6X
X2,23,PAB 50-pin,ETH_TXD1,PG12
X2,24,PAB 50-pin,GND,rail
X2,25,PAB 50-pin,GND,rail
X2,26,PAB 50-pin,SPARE09,n.c. on FMUv6X
X2,27,PAB 50-pin,ETH_TX_EN,PB11
X2,28,PAB 50-pin,SPARE10,n.c. on FMUv6X
X2,29,PAB 50-pin,GND,rail
X2,30,PAB 50-pin,SPARE11,n.c. on FMUv6X
X2,31,PAB 50-pin,SPI6_MISO_EXTERNAL1,PA6
X2,32,PAB 50-pin,SPARE12,n.c. on FMUv6X
X2,33,PAB 50-pin,SPI6_MOSI_EXTERNAL1,PG14
X2,34,PAB 50-pin,GND,rail
X2,35,PAB 50-pin,SPI6_SCK_EXTERNAL1,PB3
X2,36,PAB 50-pin,SPARE14,n.c. on FMUv6X
X2,37,PAB 50-pin,GND,rail
X2,38,PAB 50-pin,SPARE15,n.c. on FMUv6X
X2,39,PAB 50-pin,SPI6_nRESET_EXTERNAL1,PF10
X2,40,PAB 50-pin,CAN3_TX,n.c. on FMUv6X
X2,41,PAB 50-pin,SPI6_nCS1_EXTERNAL1,PI10
X2,42,PAB 50-pin,CAN3_RX,n.c. on FMUv6X
X2,43,PAB 50-pin,SPI6_nCS2_EXTERNAL1,PA15
X2,44,PAB 50-pin,PG6,PG6
X2,45,PAB 50-pin,SPI6_DRDY2_EXTERNAL1,PD12
X2,46,PAB 50-pin,GND,rail
X2,47,PAB 50-pin,SPI6_DRDY1_EXTERNAL1,PD11
X2,48,PAB 50-pin,NFC_GPIO,PC0
X2,49,PAB 50-pin,SPIX_SYNC,PE9
X2,50,PAB 50-pin,PH11,PH11
J3,1,IMU flex 34-pin,GND,rail
J3,2,IMU flex 34-pin,SPI3_nCS1_BMI088_ACCEL,PI4
J3,3,IMU flex 34-pin,SPI3_DRDY2_BMI088_INT3_GYRO,PI7
J3,4,IMU flex 34-pin,SPI3_nCS2_BMI088_GYRO,PI8
J3,5,IMU flex 34-pin,I2C4_SDA_FMU,PF15
J3,6,IMU flex 34-pin,VDD_3V3_SENSORS3,rail
J3,7,IMU flex 34-pin,I2C4_SCL_FMU,PF14
J3,8,IMU flex 34-pin,GND,rail
J3,9,IMU flex 34-pin,GND,rail
J3,10,IMU flex 34-pin,SPI3_SCK_SENSOR3,PC10
J3,11,IMU flex 34-pin,GND,rail
J3,12,IMU flex 34-pin,SPI3_MISO_SENSOR3,PC11
J3,13,IMU flex 34-pin,GND,rail
J3,14,IMU flex 34-pin,SPI3_MOSI_SENSOR3,PB2
J3,15,IMU flex 34-pin,GND,rail
J3,16,IMU flex 34-pin,VDD_3V3_SENSORS4,rail
J3,17,IMU flex 34-pin,GND,rail
J3,18,IMU flex 34-pin,GND,rail
J3,19,IMU flex 34-pin,GND,rail
J3,20,IMU flex 34-pin,SPI2_SCK_SENSOR2,PI1
J3,21,IMU flex 34-pin,GND,rail
J3,22,IMU flex 34-pin,SPI2_MISO_SENSOR2,PI2
J3,23,IMU flex 34-pin,GND,rail
J3,24,IMU flex 34-pin,SPI2_MOSI_SENSOR2,PI3
J3,25,IMU flex 34-pin,GND,rail
J3,26,IMU flex 34-pin,GND,rail
J3,27,IMU flex 34-pin,GND,rail
J3,28,IMU flex 34-pin,VDD_5V_IN,rail
J3,29,IMU flex 34-pin,GND,rail
J3,30,IMU flex 34-pin,HEATER,PB10
J3,31,IMU flex 34-pin,SPI2_DRDY2_IMU2_INT2,PA10
J3,32,IMU flex 34-pin,VDD_3V3_SENSORS2,rail
J3,33,IMU flex 34-pin,SPI2_nCS1_IMU2,PH5
J3,34,IMU flex 34-pin,GND,rail
IMU:U1,VDD,Bosch BMI088 (IMU 1),VDD_3V3_SENSORS3,rail
IMU:U1,VDDIO,Bosch BMI088 (IMU 1),VDD_3V3_SENSORS3,rail
IMU:U1,GND,Bosch BMI088 (IMU 1),GND,rail
IMU:U1,GNDIO,Bosch BMI088 (IMU 1),GND,rail
IMU:U1,PS,Bosch BMI088 (IMU 1),GND,rail
IMU:U1,SCK,Bosch BMI088 (IMU 1),SPI3_SCK_SENSOR3,PC10
IMU:U1,SDI,Bosch BMI088 (IMU 1),SPI3_MOSI_SENSOR3,PB2
IMU:U1,SDO1,Bosch BMI088 (IMU 1),SPI3_MISO_SENSOR3,PC11
IMU:U1,SDO2,Bosch BMI088 (IMU 1),SPI3_MISO_SENSOR3,PC11
IMU:U1,CSB1 (accel),Bosch BMI088 (IMU 1),SPI3_nCS1_BMI088_ACCEL,PI4
IMU:U1,CSB2 (gyro),Bosch BMI088 (IMU 1),SPI3_nCS2_BMI088_GYRO,PI8
IMU:U1,INT1,Bosch BMI088 (IMU 1),n.c.,
IMU:U1,INT2,Bosch BMI088 (IMU 1),n.c.,
IMU:U1,INT3 (gyro),Bosch BMI088 (IMU 1),SPI3_DRDY2_BMI088_INT3_GYRO,PI7
IMU:U1,INT4,Bosch BMI088 (IMU 1),n.c.,
IMU:U2,VDD,TDK ICM-42688-P (IMU 2),VDD_3V3_SENSORS2,rail
IMU:U2,VDDIO,TDK ICM-42688-P (IMU 2),VDD_3V3_SENSORS2,rail
IMU:U2,GND,TDK ICM-42688-P (IMU 2),GND,rail
IMU:U2,SCLK,TDK ICM-42688-P (IMU 2),SPI2_SCK_SENSOR2,PI1
IMU:U2,SDI,TDK ICM-42688-P (IMU 2),SPI2_MOSI_SENSOR2,PI3
IMU:U2,SDO/AD0,TDK ICM-42688-P (IMU 2),SPI2_MISO_SENSOR2,PI2
IMU:U2,nCS,TDK ICM-42688-P (IMU 2),SPI2_nCS1_IMU2,PH5
IMU:U2,INT1,TDK ICM-42688-P (IMU 2),SPI2_DRDY2_IMU2_INT2,PA10
IMU:U2,INT2/FSYNC,TDK ICM-42688-P (IMU 2),n.c.,
IMU:U3,VDD,PNI MagI2C (RM3100 ASIC),VDD_3V3_SENSORS4,rail
IMU:U3,AVDD,PNI MagI2C (RM3100 ASIC),VDD_3V3_SENSORS4,rail
IMU:U3,GND,PNI MagI2C (RM3100 ASIC),GND,rail
IMU:U3,I2C_EN,PNI MagI2C (RM3100 ASIC),VDD_3V3_SENSORS4,rail
IMU:U3,SA0,PNI MagI2C (RM3100 ASIC),GND,rail
IMU:U3,SA1,PNI MagI2C (RM3100 ASIC),GND,rail
IMU:U3,SCL,PNI MagI2C (RM3100 ASIC),I2C4_SCL_FMU,PF14
IMU:U3,SDA,PNI MagI2C (RM3100 ASIC),I2C4_SDA_FMU,PF15
IMU:U3,DRDY,PNI MagI2C (RM3100 ASIC),n.c.,
IMU:U3,LX+,PNI MagI2C (RM3100 ASIC),MAG_LX_A,
IMU:U3,LX-,PNI MagI2C (RM3100 ASIC),MAG_LX_B,
IMU:U3,LY+,PNI MagI2C (RM3100 ASIC),MAG_LY_A,
IMU:U3,LY-,PNI MagI2C (RM3100 ASIC),MAG_LY_B,
IMU:U3,LZ+,PNI MagI2C (RM3100 ASIC),MAG_LZ_A,
IMU:U3,LZ-,PNI MagI2C (RM3100 ASIC),MAG_LZ_B,
IMU:L1,1,"PNI Sen-XY-f coil, X",MAG_LX_A,
IMU:L1,2,"PNI Sen-XY-f coil, X",MAG_LX_B,
IMU:L2,1,"PNI Sen-XY-f coil, Y",MAG_LY_A,
IMU:L2,2,"PNI Sen-XY-f coil, Y",MAG_LY_B,
IMU:L3,1,"PNI Sen-Z-f coil, Z",MAG_LZ_A,
IMU:L3,2,"PNI Sen-Z-f coil, Z",MAG_LZ_B,
IMU:U4,VDD,TDK ICP-20100 (baro 1),VDD_3V3_SENSORS4,rail
IMU:U4,VDDIO,TDK ICP-20100 (baro 1),VDD_3V3_SENSORS4,rail
IMU:U4,GND,TDK ICP-20100 (baro 1),GND,rail
IMU:U4,SCL,TDK ICP-20100 (baro 1),I2C4_SCL_FMU,PF14
IMU:U4,SDA,TDK ICP-20100 (baro 1),I2C4_SDA_FMU,PF15
IMU:U4,AD0,TDK ICP-20100 (baro 1),VDD_3V3_SENSORS4,rail
IMU:U4,CSB,TDK ICP-20100 (baro 1),VDD_3V3_SENSORS4,rail
IMU:U4,INT,TDK ICP-20100 (baro 1),n.c.,
IMU:U5,VCC,Microchip 24LC64 cal. EEPROM,VDD_3V3_SENSORS4,rail
IMU:U5,VSS,Microchip 24LC64 cal. EEPROM,GND,rail
IMU:U5,A0,Microchip 24LC64 cal. EEPROM,GND,rail
IMU:U5,A1,Microchip 24LC64 cal. EEPROM,GND,rail
IMU:U5,A2,Microchip 24LC64 cal. EEPROM,GND,rail
IMU:U5,WP,Microchip 24LC64 cal. EEPROM,GND,rail
IMU:U5,SCL,Microchip 24LC64 cal. EEPROM,I2C4_SCL_FMU,PF14
IMU:U5,SDA,Microchip 24LC64 cal. EEPROM,I2C4_SDA_FMU,PF15
IMU:Q1,G,"N-MOSFET, marked 3400 (AO3400 class)",HEATER,PB10
IMU:Q1,D,"N-MOSFET, marked 3400 (AO3400 class)",HEATER_SW,
IMU:Q1,S,"N-MOSFET, marked 3400 (AO3400 class)",GND,rail
IMU:R1,1,470 R heater (marked 4700),VDD_5V_IN,rail
IMU:R1,2,470 R heater (marked 4700),HEATER_SW,
IMU:R2,1,470 R heater (marked 4700),VDD_5V_IN,rail
IMU:R2,2,470 R heater (marked 4700),HEATER_SW,
IMU:R3,1,470 R heater (marked 4700),VDD_5V_IN,rail
IMU:R3,2,470 R heater (marked 4700),HEATER_SW,
IMU:R4,1,470 R heater (marked 4700),VDD_5V_IN,rail
IMU:R4,2,470 R heater (marked 4700),HEATER_SW,
IMU:R5,1,100k gate pull-down,HEATER,PB10
IMU:R5,2,100k gate pull-down,GND,rail
